Altium Designer Pick and Place Locations
C:\Users\zhangyx\Documents\mso5000_la_probe\Project Outputs for LA_Probe\Pick Place for probe.csv

========================================================================================================================
File Design Information:

Date:       30/05/20
Time:       17:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q1_F5","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","18.5420","12.6560","90","MOS(场效应管)"
"Q1_F6","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","12.9540","28.1940","90","MOS(场效应管)"
"Q1_F7","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","5.3340","12.6560","90","MOS(场效应管)"
"Q1_F8","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","-0.2540","28.1550","90","MOS(场效应管)"
"Q2_F1","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","39.2430","12.5290","90","MOS(场效应管)"
"Q2_F2","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","33.4010","27.9400","90","MOS(场效应管)"
"Q2_F3","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","26.0350","12.5730","90","MOS(场效应管)"
"Q2_F4","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","20.3200","27.9400","90","MOS(场效应管)"
"Q2_F5","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","12.9540","12.5290","90","MOS(场效应管)"
"Q2_F6","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","7.3660","28.0670","90","MOS(场效应管)"
"Q2_F7","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","-0.2540","12.5290","90","MOS(场效应管)"
"Q2_F8","BSS84LT1G","TopLayer","SOT-23(SOT-23-3)","-5.8420","28.0280","90","MOS(场效应管)"
"R1_F1","499Ω (499) ±1%","TopLayer","0402_R","42.7990","6.8140","90","贴片电阻"
"R1_F2","499Ω (499) ±1%","TopLayer","0402_R","36.9570","22.2250","90","贴片电阻"
"R1_F3","499Ω (499) ±1%","TopLayer","0402_R","29.5910","6.8580","90","贴片电阻"
"R1_F4","499Ω (499) ±1%","TopLayer","0402_R","23.8760","22.2250","90","贴片电阻"
"R1_F5","499Ω (499) ±1%","TopLayer","0402_R","16.5100","6.8140","90","贴片电阻"
"R1_F6","499Ω (499) ±1%","TopLayer","0402_R","10.9220","22.3520","90","贴片电阻"
"R1_F7","499Ω (499) ±1%","TopLayer","0402_R","3.3020","6.8140","90","贴片电阻"
"R1_F8","499Ω (499) ±1%","TopLayer","0402_R","-2.2860","22.3130","90","贴片电阻"
"R2_F1","300Ω (3000) ±1%","TopLayer","0402_R","44.1960","6.8140","90","贴片电阻"
"R2_F2","300Ω (3000) ±1%","TopLayer","0402_R","38.3540","22.2250","90","贴片电阻"
"R2_F3","300Ω (3000) ±1%","TopLayer","0402_R","30.9880","6.8580","90","贴片电阻"
"R2_F4","300Ω (3000) ±1%","TopLayer","0402_R","25.2730","22.2250","90","贴片电阻"
"R2_F5","300Ω (3000) ±1%","TopLayer","0402_R","17.9070","6.8140","90","贴片电阻"
"R2_F6","300Ω (3000) ±1%","TopLayer","0402_R","12.3190","22.3520","90","贴片电阻"
"R2_F7","300Ω (3000) ±1%","TopLayer","0402_R","4.6990","6.8140","90","贴片电阻"
"R2_F8","300Ω (3000) ±1%","TopLayer","0402_R","-0.8890","22.3130","90","贴片电阻"
"R3_F1","90.9KΩ (9092) ±1%","TopLayer","0402_R","44.1960","9.1390","90","贴片电阻"
"R3_F2","90.9KΩ (9092) ±1%","TopLayer","0402_R","38.3540","24.5500","90","贴片电阻"
"R3_F3","90.9KΩ (9092) ±1%","TopLayer","0402_R","30.9880","9.1830","90","贴片电阻"
"R3_F4","90.9KΩ (9092) ±1%","TopLayer","0402_R","25.2730","24.5500","90","贴片电阻"
"R3_F5","90.9KΩ (9092) ±1%","TopLayer","0402_R","17.9070","9.1390","90","贴片电阻"
"R3_F6","90.9KΩ (9092) ±1%","TopLayer","0402_R","12.3190","24.6770","90","贴片电阻"
"R3_F7","90.9KΩ (9092) ±1%","TopLayer","0402_R","4.6990","9.1390","90","贴片电阻"
"R3_F8","90.9KΩ (9092) ±1%","TopLayer","0402_R","-0.8890","24.6380","90","贴片电阻"
"R4_F1","10KΩ (1002) ±1%","TopLayer","0402_R","45.5930","6.8140","90","贴片电阻"
"R4_F2","10KΩ (1002) ±1%","TopLayer","0402_R","39.7510","22.2250","90","贴片电阻"
"R4_F3","10KΩ (1002) ±1%","TopLayer","0402_R","32.3850","6.8580","90","贴片电阻"
"R4_F4","10KΩ (1002) ±1%","TopLayer","0402_R","26.6700","22.2250","90","贴片电阻"
"R4_F5","10KΩ (1002) ±1%","TopLayer","0402_R","19.3040","6.8140","90","贴片电阻"
"R4_F6","10KΩ (1002) ±1%","TopLayer","0402_R","13.7160","22.3520","90","贴片电阻"
"R4_F7","10KΩ (1002) ±1%","TopLayer","0402_R","6.0960","6.8140","90","贴片电阻"
"R4_F8","10KΩ (1002) ±1%","TopLayer","0402_R","0.5080","22.3130","90","贴片电阻"
"R5_F1","499Ω (499) ±1%","TopLayer","0402_R","38.4810","6.8140","90","贴片电阻"
"R5_F2","499Ω (499) ±1%","TopLayer","0402_R","32.6390","22.2250","90","贴片电阻"
"R5_F3","499Ω (499) ±1%","TopLayer","0402_R","25.2730","6.8580","90","贴片电阻"
"R5_F4","499Ω (499) ±1%","TopLayer","0402_R","19.5580","22.2250","90","贴片电阻"
"R5_F5","499Ω (499) ±1%","TopLayer","0402_R","12.1920","6.8140","90","贴片电阻"
"R5_F6","499Ω (499) ±1%","TopLayer","0402_R","6.6040","22.3520","90","贴片电阻"
"R5_F7","499Ω (499) ±1%","TopLayer","0402_R","-1.0160","6.8140","90","贴片电阻"
"R5_F8","499Ω (499) ±1%","TopLayer","0402_R","-6.6040","22.3130","90","贴片电阻"
"R6_F1","300Ω (3000) ±1%","TopLayer","0402_R","39.8780","6.8140","90","贴片电阻"
"R6_F2","300Ω (3000) ±1%","TopLayer","0402_R","34.0360","22.2250","90","贴片电阻"
"R6_F3","300Ω (3000) ±1%","TopLayer","0402_R","26.6700","6.8580","90","贴片电阻"
"R6_F4","300Ω (3000) ±1%","TopLayer","0402_R","20.9550","22.2250","90","贴片电阻"
"R6_F5","300Ω (3000) ±1%","TopLayer","0402_R","13.5890","6.8140","90","贴片电阻"
"R6_F6","300Ω (3000) ±1%","TopLayer","0402_R","8.0010","22.3520","90","贴片电阻"
"R6_F7","300Ω (3000) ±1%","TopLayer","0402_R","0.3810","6.8140","90","贴片电阻"
"R6_F8","300Ω (3000) ±1%","TopLayer","0402_R","-5.2070","22.3130","90","贴片电阻"
"R7_F1","90.9KΩ (9092) ±1%","TopLayer","0402_R","39.8780","9.1390","90","贴片电阻"
"R7_F2","90.9KΩ (9092) ±1%","TopLayer","0402_R","34.0360","24.5500","90","贴片电阻"
"R7_F3","90.9KΩ (9092) ±1%","TopLayer","0402_R","26.6700","9.1830","90","贴片电阻"
"R7_F4","90.9KΩ (9092) ±1%","TopLayer","0402_R","20.9550","24.5500","90","贴片电阻"
"R7_F5","90.9KΩ (9092) ±1%","TopLayer","0402_R","13.5890","9.1390","90","贴片电阻"
"R7_F6","90.9KΩ (9092) ±1%","TopLayer","0402_R","8.0010","24.6770","90","贴片电阻"
"R7_F7","90.9KΩ (9092) ±1%","TopLayer","0402_R","0.3810","9.1390","90","贴片电阻"
"R7_F8","90.9KΩ (9092) ±1%","TopLayer","0402_R","-5.2070","24.6380","90","贴片电阻"
"R8_F1","10KΩ (1002) ±1%","TopLayer","0402_R","41.2750","6.8140","90","贴片电阻"
"R8_F2","10KΩ (1002) ±1%","TopLayer","0402_R","35.4330","22.2250","90","贴片电阻"
"R8_F3","10KΩ (1002) ±1%","TopLayer","0402_R","28.0670","6.8580","90","贴片电阻"
"R8_F4","10KΩ (1002) ±1%","TopLayer","0402_R","22.3520","22.2250","90","贴片电阻"
"R8_F5","10KΩ (1002) ±1%","TopLayer","0402_R","14.9860","6.8140","90","贴片电阻"
"R8_F6","10KΩ (1002) ±1%","TopLayer","0402_R","9.3980","22.3520","90","贴片电阻"
"R8_F7","10KΩ (1002) ±1%","TopLayer","0402_R","1.7780","6.8140","90","贴片电阻"
"R8_F8","10KΩ (1002) ±1%","TopLayer","0402_R","-3.8100","22.3130","90","贴片电阻"
"VR1","XC6206P332MR","TopLayer","SOT-23-3L","48.1330","40.2590","360","低压差线性稳压(LDO)"
"U1_F1","TLV3502AIDR","BottomLayer","SOIC-8_150mil","41.9100","13.2240","180",""
"U1_F2","TLV3502AIDR","BottomLayer","SOIC-8_150mil","36.0680","28.6350","180",""
"U1_F3","TLV3502AIDR","BottomLayer","SOIC-8_150mil","28.7020","13.2680","180",""
"U1_F4","TLV3502AIDR","BottomLayer","SOIC-8_150mil","22.9870","28.6350","180",""
"U1_F5","TLV3502AIDR","BottomLayer","SOIC-8_150mil","15.6210","13.2240","180",""
"U1_F6","TLV3502AIDR","BottomLayer","SOIC-8_150mil","10.0330","28.7620","180",""
"U1_F7","TLV3502AIDR","BottomLayer","SOIC-8_150mil","2.4130","13.2240","180",""
"U1_F8","TLV3502AIDR","BottomLayer","SOIC-8_150mil","-3.1750","28.7230","180",""
"U2_DS1","SN65LVDS31PWR","BottomLayer","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL","40.4340","38.6190","270",""
"U2_DS2","SN65LVDS31PWR","BottomLayer","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL","25.8290","38.6190","270",""
"U2_DS4","SN65LVDS31PWR","BottomLayer","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL","-1.4760","38.7460","270",""
"C12","22uF (226) 20% 25V","TopLayer","0805_C","49.7840","31.7500","270","贴片电容"
"C13","22uF (226) 20% 25V","TopLayer","0805_C","47.4980","34.7980","180","贴片电容"
"U2_DS3","SN65LVDS31PWR","BottomLayer","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL","12.4460","38.7350","270",""
